Company Name, Telephone, Fax, Email, Website
Engseen Bleaching & Dyeing Sdn. Bhd., 604-3324121 / 2 / 3, 604-3324120, engseen3@gmail.com , NaN
Envico Enterprises Sdn. Bhd., 603-2380 9888, 603-2380 9880, envico@valiramgroup.com , http://www.valirangroup.com
Exclusive Garments Manufacturing Sdn. Bhd., 603-3120 3328, 603-3120 1322, chiagn7788@yahoo.com, NaN
Exquisite Textile Industries Sdn. Bhd., 604-5524671, 604-5390055, customer@eqsit.com , http://www.wtexhibition.net/exquisite
Exquisite Textile Industries Sdn. Bhd., 604-5524671, 604-5390055, customer@eqsit.com , http://www.wtexhibition.net/exquisite
Fartex Industries Sdn. Bhd., 607-4288535,   607-4288525,   fartex500@yahoo.com, http://www.fartexind.com
FCE Enterprise Sdn. Bhd. , 603-6277 3333, 603-6277 1111,     fce333@gmail.com     , http://www.fce.com.my 
Firstex Knitting Industry Sdn. Bhd., 603-87363133,    603-87667911 , sales@firstex.com.my , http://www.firstexknit.com
Flying Sports Wear, 605-6912563, 605-6917069, flywear@pd.jaring.my, http://www.flyingmachinery.com 
Freeway Silk Screen Sdn. Bhd, 606-9753188 |  606-9752218, 606-9752288, freeway_sam@yahoo.com, NaN
Frame Loom (M) Sdn. Bhd., 607-4312395, 607-4326624, frameloom@yahoo.com , NaN
Fuchitex (M) Sdn. Bhd., 607-4556188 / 90 / 91, 607-4556189, nonie.ng@fuchitex.com, http://www.fuchitex.com
Fudojaya Sdn. Bhd., 607-4333879, 607-4352878, evergrade88@yahoo.com  , http://www.fudojaya.com
åå®ä¼ä¸æéå
¬å¸Goodtrade Enterprise Sdn. Bhd., 603-32500555 / 32500123, 603-32506269, goodtrade555@gmail.com , http://www.goodtrade.com.my
Grand Apparel Knitting Industries Sdn. Bhd., 603-92812788, 603-92863788, jason@grandapprel.com, http://www.grandapparel.com 
Groz-Beckert East Asia LLP, +65-6858 2112, +65-6858 2002, contact_gbs@groz-beckert.com, http://www.groz-beckert.com
Grandtex Enterprise Sdn. Bhd., 607-5125300, 607-5125310, NaN, NaN
Groz-Beckert East Asia LLP, +65-6858 2112, +65-6858 2002, contact_gbs@groz-beckert.com, http://www.groz-beckert.com
Hang Seng Knitting & Trading, 604-5826380, 604-5824314 / 5823242, hangseng@gmail.com.my , NaN
Honsin Apparel Sdn. Bhd., 607-4318388, 607-4310133, enquiries@prolexus.com.my , http://www.prolexus.com.my
Huge Synergy Sdn. Bhd., 604-4892895, 604-4892933, hsynergy@hugesynergy.com, NaN
Hupsin Dyeing Enterprise Sdn. Bhd., 607-4342009, 607-4321009, NaN, NaN
Not Found, NaN, NaN, NaN, NaN
Intertek Testing Services (S) Pte. Ltd., (65) 63 888 666, (65) 63 826 268, laiyee.wong@intertek.com , http://www.intertek.com
INX Manufacturing Sdn. Bhd., 607-4288995, 607-4287006, inxmfgsb@gmail.com , NaN
Jangdah Garment Industries Sdn. Bhd., 607-4151555, 607-4152333, jangdah77@gmail.com, NaN
Jin Ding Industry Sdn. Bhd., 607-5951254, NaN, jinding.ind@gmail.com, NaN
K.N.Lee Knitting Industries Sdn. Bhd., NaN, NaN, sales@knlee.com.myknleeknt@knlee.com.my , NaN
Kah Hwa Industries Sdn. Bhd., 607-4151992, 607-4151033, sales@kahhwa.com.my , www.kahhwa.com.my
Kin Yen Enterprise Sdn. Bhd., 607-4288166, 607-4288169, kinyensb@gmail.com , http://www.kinyen.com 
Knit Textiles Mfg. Sdn. Bhd., 607-4558666 , 607-4556500, business@knit.com.my, www.ktmg.sg
é¸¿æä¼ä¸, 605-6912563, 605-6917069, rgsport@live.com, NaN
Kwang Hwa    Industry Sdn. Bhd., 606-9869393, 606-9868131, jiawen@kwanghwa.netgoh@kwanghwa.net , NaN
L .T. G Enterprise (B.P.) Sdn. Bhd., 607-4288332, 607-4288336, ltgentbpsb@gmail.com, NaN
Lamsin Enterprise (M) Sdn. Bhd., 604-5889825, 604-5889950, lamsin_ent@yahoo.com , NaN
LDR Enterprise Sdn. Bhd., 607-5982945, 607-5982953, dinesh@ldrtx.cominfo@ldrtx.com , NaN
éæºä¸å°ä¼ä¸æéå
¬å¸Leng Yen Silk Screen Enterprise Sdn. Bhd., 607-4288010, 607-4288001, lengyen@lengyen.com , http://www.lengyen.com
Lim Fashion Sdn. Bhd., 607-4352225, 607-4311119,     llim_fashion@yahoo.com , NaN
Livertex Industries (M) Sdn. Bhd., 607-4289888, 607-4289222, NaN,     www.livertex.com.my
Lum Tah Industry Sdn. Bhd., 607-4286863, 607-4287178, ncw7178@gmail.com , NaN
Lum Tah Industry Sdn. Bhd., 607-4286863, 607-4287178, ncw7178@gmail.com , NaN
Manntex Manufacturing Sdn. Bhd., 606-3362633, 606-3362103, manntex@gmail.com, NaN
M Three Sport Enterprise, 607-4376143, 607-4376143, johnson19988@hotmail.com, NaN
Manntex Manufacturing Sdn. Bhd., 606-3362633, 606-3362103, manntex@gmail.com, NaN
Maple Tricot Industries Sdn. Bhd., 607-4152084, 607-4152085, mapletricot@yahoo.com , www.mapletricot.com.my  
Mine T Marketing Sdn. Bhd., NaN, NaN, NaN, NaN
MD Textile Sdn. Bhd., 603-7880 6628, 603-7880 2628, sales@mdtextile.com, http://www.mdtextile.com
MHL Industries (Malaysia) Sdn. Bhd., 607-5122868, 607-5112518, matthew.lim@mhlhanger.com , http://www.mhlhanger.com
MTI (Far East) Sdn. Bhd., 6019-3377889, 603-77296788, mti.smtong@gmail.com , NaN
MTI (Far East) Sdn. Bhd., 6019-3377889, 603-77296788, mti.smtong@gmail.com , NaN
MW Industries Trading, 607-4382387, 607-4383387, mwtay58@gmail.com, NaN4
Nature World Manufacturing Sdn. Bhd., 603-6251 1692, 603-6251 1692, wendytan@natureworldsb.com, http://www.natureworldmfg.com 
Nee Tex Trading, 60-12-7076736, 607-4331935, neetex_yk@yahoo.com , NaN
New Lian City Industrial Company  Sdn. Bhd., 607-5992825, 607-5992584 |  5993766, newliancity@gmail.com, NaN
Nicetrade Entity Sdn. Bhd., 607-4152515, 607-4151215, giashin515@gmail.com , NaN
Ostasia Trading Pte. Ltd., NaN, NaN, sin@ostasia.com kul@ostasia.com , NaN
O.G. Textile Sdn. Bhd., 604-5881188, 604-5881199, enquiry@ogtex.com.my, www.ogtex.com.my 
O.G. Uniform Trading Sdn. Bhd., 604-3995326, 604-3992070, oguniform@gmail.com, www.oguniform.com.my
Oceanic Fabric Mill Sdn. Bhd., 607-7714733 |  7715733, 607-7715833, ofm@oceanic.com.sg , NaN
Ostasia Trading Pte. Ltd., NaN, NaN, sin@ostasia.com kul@ostasia.com , NaN
Pacific Screen Enterprise, 607-4101628, 607-4101623, b-seven_15@hotmail.com , NaN
Parit Raja Trading Sdn. Bhd., 607-4311942, 607-4313323, gavin_kyng@yahoo.com.au, NaN
Perfect Apparel Sdn. Bhd., 603-4294 4912, 603-4293 4912, beauind@gmail.com, NaN
Perusahaan Chin Hin Giap Sdn. Bhd., 604-5825161, 604-5824255, pchgsb@gmail.com, http://www.chinhingiap.com 
 Perusahaan       Kyan Yap (M) Sdn. Bhd., 607-4331888 |  4338188, NaN, info@kenttex.com, www.kenttex.com
PM-Tex Private Limited, 65-6698 1292, 65-6336 7675, pmtex@starhub.net.sg, NaN
Powernet Trading (M) Sdn. Bhd., 603-2182 8388, 603-2181 7130, eleanwoo@powernetgroup.com.my, http://www.powernetgroup.com.my 
Ramatex Textiles Industrial Sdn. Bhd., 607-4551225 |  4551226, 607-4559386, webmaster@ramatex.com.my , www.ramatex.com.my
Recron (Malaysia) Sdn. Bhd., 603-2031 6000, 603-2031 5000,     enquiry.marketing@recron.com    , www.recronmalaysia.com
Rise Win Marketing Enterprise, +6012-664 9079, +6012-357 0909, mohaanthruman@gmail.com, http://www.risewinmarketing.com
Saltyskins Sdn. Bhd., NaN, NaN, sales@saltycustoms.com , http://www.saltycustoms.com
Senta Knitting Trading Company, 607-4151124, 607-4152741, NaN, NaN
Sheng Li Knitting Industries Sdn. Bhd., 607-4153333, 607-4151788, gpteh.shengli@gmail.com  , NaN
Sheng Yi Textile Sdn. Bhd., 607-4152942, 607-4152942, NaN, NaN
Shin Yarn Enterprise S/B, 607-4314341, 607-4328917, NaN, NaN
Shining Textile Sdn. Bhd., 607-4152573, 607-4152568, info@shining.com.my, NaN
Shirley Technologies Ltd., +65 63169189, +65 91519998, singapore@shirleytech.com  /bimal.attodi@shirleytech.com , www.shirleytech.co.uk     /
STT Marketing Sdn. Bhd., 607-4311631, 607-4317999, shuntaigroup@gmail.com , NaN
Shuntex Trading, 607-4312345, 607-4318899, shuntex7128@gmail.com , NaN
STT Marketing Sdn. Bhd., 607-4311631, 607-4317999, shuntaigroup@gmail.com , NaN
Sincerely Dyeing & Finishing Sdn. Bhd., 607-4558901, 607-4558900,     waynelian@sincerely.com.my , http://www.sincerely.com.my
Sincerely Dyeing & Finishing Sdn. Bhd., 607-4558901, 607-4558900,     waynelian@sincerely.com.my , http://www.sincerely.com.my
Sin Hwa Knitting Industries, 607-4151891, 607-4151391, NaN, NaN
Skytex Industries (M) Sdn. Bhd., 607-4286999, 607-4287575,     skytex_sb@hotmail.com , NaN
Sofeene (Hong Kong) Pte. Ltd., 65-6280 7157, NaN, hariss@sofeene.com.hk, http://www.sofeene.com
Sri Majutex Industrial Sdn. Bhd., 604-551 8869, 604-551 8859, sktan@majutex.com, http://www.majutex.com 
STT Marketing Sdn. Bhd., 607-4311631, 607-4317999, shuntaigroup@gmail.com , NaN
Sutiamoto (M) Sdn. Bhd., 607-4287878, 607-4287575, sutiamoto@hotmail.com  , NaN
Tai Tatt Knitting Factory Sdn. Bhd., 603-8740 4348 , 603-8741 4349, voon@yahoo.com, NaN
å¤§é©¬éè½¦è´¸ææéå
¬å¸, 607-4310923, 607-4333529, philip@tarmah.com.my  , http://www.tarmah.com.my 
Teo & Lee Garment Manufacturing Sdn. Bhd., 607-3555008, 607-3556858, teo_n_lee@fiffybaby.com, NaN
çå£«çººç»æ£å®æéå
¬å¸, +60 3 5636 7499, +60 3 5611 7498, kl@testex.com  ,     http://www.testex.com
Teo & Lee Garment Manufacturing Sdn. Bhd., 607-3555008, 607-3556858, teo_n_lee@fiffybaby.com, NaN
Texchem Malaysia Sdn. Bhd., 604-3907951, 604-3987226 |  2291424, tmsb@tm.texmat.com , www.texchemgroup.com 
Texstrong Textile Sdn. Bhd., 604-5304910 |  5375807, 604-5392471, slsknitting@lycos.com, NaN
Not Found, NaN, NaN, NaN, NaN
Top Meei Marketing Sdn. Bhd., 603-6136 9675, 603-6136 9563, topmeei@tmesb.com.my , NaN
Top Well Master Sdn. Bhd., 604-4913925, 604-4915884, cheng@topwellmaster.com , www.topwellmaster.com
Toyobo Textile (Malaysia) Sdn. Bhd., 605-7761810 / 7761388, 605-7764877, ooi@toyobo.com.my, NaN
Not Found, NaN, NaN, NaN, NaN
TPI Industries Sdn. Bhd, 6016-2270615, 606-2320588, hcseow@tpi.com.my, NaN
Tri-Colour Industries Sdn. Bhd., 607-4330111 |  4316870, 607-4342555,     tri-colour96@yahoo.com , NaN
U Pknit Knitting Industry Sdn. Bhd., 607-4324568 |  4324570 |  4341410, 607-4318222, upknit@hotmail.com, NaN
UJI Fashion Sdn. Bhd., +604-433 8897, +604-433 8898, ujifesyen@gmail.com, NaN
U Pknit Knitting Industry Sdn. Bhd., 607-4324568 |  4324570 |  4341410, 607-4318222, upknit@hotmail.com, NaN
United Sweethearts Garment Sdn. Bhd., 604-5858188, 604-5858199, sbgoh@mweusg.com , http://www.mweusg.com
United Texknit Sdn. Bhd., 603-80119888 / 6012-2099803, NaN, utexknit@gmail.com , NaN
Uprise Elastic Webbing (M) Sdn. Bhd., 604-4312302 |  4312303, 604-4312298, ricky@uprise-elastic.com, www.uprise-elastic.com
Venlaakwear Enterprise, +60-12-4900272, NaN, venlaakwear@gmail.com , NaN
Victory Income Sdn. Bhd., +603-6274 2163, NaN, cgknit@victoryincome.com, NaN
Wamay Industries Sdn. Bhd., 607-4346373, 607-4316337, NaN, NaN
Wah Tech Industries Sdn. Bhd., 607-5207709, 607-5207708, wahtech@pd.jaring.my , NaN
Not Found, NaN, NaN, NaN, NaN
Winitex Sdn.  Bhd., 607-7724844, 607-7723722, winitex@winitex.com.my , www.winitex.com.my
Yally Garment Industries Sdn. Bhd., 607-4288846, NaN, yally328@gmail.com , NaN
YK Global Sdn.  Bhd., 607-4286933, 607-4288633, sales@ykglobal.com.my , http://www.ykglobal.com.my  
YKK Malaysia Sdn.  Bhd., 607-2374389, NaN, jason_lim@ykk.com.my , www.ykk.com.my 
